"","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"protpa",-0.901793750339053,-0.0977153587615598,0.0323443798382041,-0.0198341428023633,-0.0827972629385549,-0.073847326668457,0.39043453215535
"protte",-0.70101663448527,-0.0677551659512172,0.0571968726918504,-0.0198341428023633,-0.0827972629385549,0.148116198077416,0.33798172480704
"pse1se",-0.0944412487189573,-0.0873076198511894,0.0383253764484438,-0.0198341428023633,-0.0827972629385549,0.103000310308058,0.51099220292369
"psidfr",-0.983529756099789,-0.040856768509581,0.030837511185657,-0.0198341428023633,-0.0827972629385549,-0.0335676929497322,0.416803712200424
"psycg1",-0.937558355043759,-0.0549360071911729,0.0377383162984349,-0.0198341428023633,-0.0827972629385549,0.0329281578031616,0.24741061162586
"psycg3",-0.385414691806104,-0.0886359443433452,0.0404282274075022,-0.0198341428023633,-0.0827972629385549,0.0587414481949715,0.472043773332749
"psycho",-1.18621511604385,-0.0253482534298506,0.0404429801567756,-0.0198341428023633,-0.0827972629385549,0.142780944118351,0.0739520433811803
"psycli",-0.489591080314878,-0.076886343191794,0.0434853876491587,-0.0198341428023633,-0.0827972629385549,0.281762887512969,0.296933721724706
"psycma",-0.781325875567715,-0.0539695497096688,0.0334901332340166,-0.0198341428023633,-0.0827972629385549,0.279452770494068,0.0813205777659586
"pterro",-0.97736718052407,-0.0716134466399922,0.0373217632890455,-0.0198341428023633,-0.0827972629385549,-0.0792935586882044,0.41073754324399
"quaras",-0.914126050195964,-0.0623596169728656,0.0363060001331678,-0.0198341428023633,-0.0827972629385549,0.43970209150431,0.154217510410986
"quasam",-1.44039349429939,-0.0212993904107177,0.0232741227692852,-0.0198341428023633,-0.0827972629385549,-0.195066903249735,0.258401284119669
"randar",-1.0508405540778,-0.0625594894303547,0.0243659506052727,-0.0198341428023633,-0.0827972629385549,0.0894479267773956,0.190191253699993
"rinosy",-1.19928373616767,-0.0505448159990417,0.021327379423307,-0.0198341428023633,-0.0827972629385549,-0.128534096754477,0.17637365127888
"sapiau",-0.438751974581841,-0.0756544140666576,0.0309592738809441,-0.0198341428023633,-0.0827972629385549,-0.0255906360356986,0.437031678157813
"sennda",-0.021324424625486,-0.0872949748511355,0.0367234090476722,-0.0198341428023633,-0.0827972629385549,0.0315625093674753,0.571991629089303
"simaam",-0.0333081288368996,-0.0906989419874615,0.0742202953832149,-0.0198341428023633,-0.0827972629385549,0.220620937952825,0.481286016803574
"sipapa",-0.620778543276703,-0.0592945851266169,0.00373847183801045,-0.0198341428023633,-0.0827972629385549,-0.169327537689451,0.442877864403151
"sloate",-1.43905453345722,-0.0144728571389959,0.0238447989778077,-0.0198341428023633,-0.0827972629385549,0.188298542847029,0.148095458174213
"solaha",0.156154113441401,-0.0934743563937124,0.0371234047045516,-0.0198341428023633,-0.0827972629385549,0.176049557187341,0.598635561859666
"soroaf",-1.12949948855331,-0.0639519379148338,0.0255274259916215,-0.0198341428023633,-0.0827972629385549,-0.169732320407407,0.21677854749761
